# Reduced from the Unicode UTS #39 confusables.txt data file:
# https://www.unicode.org/Public/security/latest/confusables.txt
# Kept: single codepoint sources, non-ASCII, whose prototype folds (NFKD, marks stripped,
# lowercased) to plain ASCII alphanumerics. Format: <source codepoint hex>	<ascii>
# Unicode data is used under the Unicode License: https://www.unicode.org/license.txt
00A2	c
00A5	y
00C6	ae
00C7	c
00D0	d
00D7	x
00D8	o
00E6	ae
00E7	c
00F8	o
00FE	p
0110	d
0111	d
011A	e
011B	e
0126	h
0127	h
0131	i
0132	lj
0133	ij
0141	l
0142	l
014B	n
0150	o
0152	oe
0153	oe
0166	t
0167	t
017F	f
0180	b
0182	b
0183	b
0184	b
0189	d
018C	d
018D	g
0191	f
0192	f
0196	l
0197	l
0199	k
019A	l
019D	n
019E	n
019F	o
01A5	p
01A6	r
01A7	2
01AD	t
01AE	t
01B4	y
01B5	z
01B6	z
01B7	3
01BB	2
01BC	5
01BD	s
01BF	p
01C0	l
01C1	ll
01C4	dz
01C5	dz
01C6	dz
01C7	lj
01C8	lj
01C9	lj
01CA	nj
01CB	nj
01CC	nj
01CD	a
01CE	a
01CF	i
01D0	i
01D1	o
01D2	o
01D3	u
01D4	u
01E4	g
01E5	g
01E6	g
01E7	g
01F1	dz
01F2	dz
01F3	dz
01F5	g
01FE	o
021A	t
021C	3
0222	8
0223	8
0224	z
0225	z
0226	a
0227	a
023C	c
023E	t
0244	u
0246	e
0247	e
0248	j
0249	j
024D	r
024E	y
024F	y
0251	a
0253	b
0256	d
0257	d
0260	g
0261	g
0263	y
0266	h
0268	i
0269	i
026A	i
026B	l
026D	l
026F	w
0271	rn
0273	n
0275	o
027C	r
027D	r
0282	s
028B	u
028F	y
0290	z
02A0	q
02A3	dz
02A6	ts
02A9	fn
02AA	ls
02AB	lz
02DB	i
037A	i
037F	j
0391	a
0392	b
0395	e
0396	z
0397	h
0398	o
0399	l
039A	k
039C	m
039D	n
039F	o
03A1	p
03A4	t
03A5	y
03A7	x
03B1	a
03B3	y
03B7	n
03B8	o
03B9	i
03BD	v
03BF	o
03C1	p
03C3	o
03C5	u
03D1	o
03D2	y
03DC	f
03E8	2
03EC	6
03ED	o
03F1	p
03F2	c
03F3	j
03F4	o
03F8	p
03F9	c
03FA	m
0405	s
0406	l
0408	j
0410	a
0411	b
0412	b
0415	e
0417	3
041A	k
041C	m
041D	h
041E	o
0420	p
0421	c
0422	t
0423	y
0425	x
042B	bl
042C	b
042E	lo
0430	a
0431	6
0433	r
0435	e
043E	o
0440	p
0441	c
0443	y
0445	x
0448	w
0455	s
0456	i
0458	j
045B	h
045F	u
0461	w
0462	b
0463	b
0472	o
0473	o
0474	v
0475	v
047D	w
048C	b
048D	b
0493	r
0498	3
049A	k
049E	k
04A2	h
04AA	c
04AB	c
04AC	t
04AE	y
04AF	y
04B0	y
04B1	y
04B2	x
04BB	h
04BD	e
04BF	e
04C0	l
04C7	h
